CG6883	FBan0006883	FBgn0003749	trh	trachealess	FBgn0010944,FBgn0026793
CG6884	FBan0006884	FBgn0036811	Med21		FBgn0063287
CG6885	FBan0006885	FBgn0036810	CG6885		
CG6888	FBan0006888	FBgn0036490	CG6888		FBgn0065007
CG6889	FBan0006889	FBgn0040071	tara	taranis	FBgn0010823,FBgn0011312,FBgn0038408
CG12931	FBan0012931	FBgn0033422	Or45b	Odorant receptor 45b	
CG14390	FBan0014390	FBgn0038084	beat-Vc		
CG12932	FBan0012932	FBgn0033419	CG12932		
CG13661	FBan0013661	FBgn0039285	CG13661		
CG12933	FBan0012933	FBgn0033418	CG12933		
CG13662	FBan0013662	FBgn0039287	CG13662		
CG14391	FBan0014391	FBgn0038078	CG14391		FBgn0063311
CG13663	FBan0013663	FBgn0039291	CG13663		
CG12934	FBan0012934	FBgn0033541	CG12934		
CG12935	FBan0012935	FBgn0033547	CG12935		
CG13664	FBan0013664	FBgn0039295	CG13664		
CG12936	FBan0012936	FBgn0033549	CG12936		
CG14394	FBan0014394	FBgn0038079	CG14394		
CG14395	FBan0014395	FBgn0038073	CG14395		
CG14396	FBan0014396	FBgn0011829	Ret	Ret oncogene	FBgn0022789,FBgn0032930,FBgn0032931
CG12938	FBan0012938	FBgn0033554	CG12938		
CG13667	FBan0013667	FBgn0035890	CG13667		
CG6890	FBan0006890	FBgn0029114	Tollo	Tollo	FBgn0041571
CG6891	FBan0006891	FBgn0030955	CG6891		
CG6892	FBan0006892	FBgn0039225	Ets96B		
CG6893	FBan0006893	FBgn0036807	CG6893		
CG6895	FBan0006895	FBgn0040323	GNBP1	Gram-negative bacteria binding protein 1	FBgn0036803
CG6896	FBan0006896	FBgn0036801	CG6896		
CG6897	FBan0006897	FBgn0036800	CG6897		
CG6898	FBan0006898	FBgn0038412	Zip3	Zinc/iron regulated transporter-related protein 3	
CG6899	FBan0006899	FBgn0004368	Ptp4E	Protein tyrosine phosphatase 4E	
CG13670	FBan0013670	FBgn0035873	CG13670		
CG12942	FBan0012942	FBgn0033569	CG12942		
CG13671	FBan0013671	FBgn0035867	CG13671		
CG12943	FBan0012943	FBgn0033572	CG12943		
