AC   MIPF0000015
ID   MIR399
MI   MI0001020  ath-MIR399a
MI   MI0001021  ath-MIR399b
MI   MI0001022  ath-MIR399c
MI   MI0001023  ath-MIR399d
MI   MI0001024  ath-MIR399e
MI   MI0001025  ath-MIR399f
MI   MI0001053  osa-MIR399a
MI   MI0001054  osa-MIR399b
MI   MI0001055  osa-MIR399c
MI   MI0001056  osa-MIR399d
MI   MI0001057  osa-MIR399e
MI   MI0001058  osa-MIR399f
MI   MI0001059  osa-MIR399g
MI   MI0001060  osa-MIR399h
MI   MI0001061  osa-MIR399i
MI   MI0001062  osa-MIR399j
MI   MI0001063  osa-MIR399k
MI   MI0001541  sbi-MIR399a
MI   MI0001542  sbi-MIR399c
MI   MI0001543  sbi-MIR399d
MI   MI0001544  sbi-MIR399e
MI   MI0001545  sbi-MIR399f
MI   MI0001546  sbi-MIR399b
MI   MI0001547  sbi-MIR399g
MI   MI0001743  mtr-MIR399b
MI   MI0001744  mtr-MIR399d
MI   MI0001748  mtr-MIR399c
MI   MI0001749  mtr-MIR399a
MI   MI0001750  mtr-MIR399e
MI   MI0001802  zma-MIR399a
MI   MI0001803  zma-MIR399c
MI   MI0001804  zma-MIR399b
MI   MI0001805  zma-MIR399d
MI   MI0001806  zma-MIR399e
MI   MI0001807  zma-MIR399f
MI   MI0001849  sbi-MIR399h
MI   MI0001850  sbi-MIR399i
MI   MI0002338  ptc-MIR399a
MI   MI0002339  ptc-MIR399b
MI   MI0002340  ptc-MIR399c
MI   MI0002341  ptc-MIR399d
MI   MI0002342  ptc-MIR399e
MI   MI0002343  ptc-MIR399f
MI   MI0002344  ptc-MIR399g
MI   MI0002345  ptc-MIR399h
MI   MI0002346  ptc-MIR399i
MI   MI0002347  ptc-MIR399j
MI   MI0002348  ptc-MIR399k
MI   MI0002349  ptc-MIR399l
//
AC   MIPF0000016
ID   MIR395
MI   MI0001007  ath-MIR395a
MI   MI0001008  ath-MIR395b
MI   MI0001009  ath-MIR395c
MI   MI0001010  ath-MIR395d
MI   MI0001011  ath-MIR395e
MI   MI0001012  ath-MIR395f
MI   MI0001028  osa-MIR395b
MI   MI0001029  osa-MIR395d
MI   MI0001030  osa-MIR395e
MI   MI0001031  osa-MIR395g
MI   MI0001032  osa-MIR395h
MI   MI0001033  osa-MIR395i
MI   MI0001034  osa-MIR395j
MI   MI0001035  osa-MIR395k
MI   MI0001036  osa-MIR395l
MI   MI0001037  osa-MIR395s
MI   MI0001038  osa-MIR395t
MI   MI0001041  osa-MIR395c
MI   MI0001042  osa-MIR395a
MI   MI0001043  osa-MIR395f
MI   MI0001044  osa-MIR395u
MI   MI0001533  sbi-MIR395b
MI   MI0001534  sbi-MIR395a
MI   MI0001535  sbi-MIR395c
MI   MI0001536  sbi-MIR395d
MI   MI0001537  sbi-MIR395e
MI   MI0001746  mtr-MIR395a
MI   MI0001747  mtr-MIR395b
MI   MI0001796  zma-MIR395b
MI   MI0001798  zma-MIR395c
MI   MI0001799  zma-MIR395a
MI   MI0001855  sbi-MIR395f
MI   MI0002315  ptc-MIR395a
MI   MI0002316  ptc-MIR395b
MI   MI0002317  ptc-MIR395c
MI   MI0002318  ptc-MIR395d
MI   MI0002319  ptc-MIR395e
MI   MI0002320  ptc-MIR395f
MI   MI0002321  ptc-MIR395g
MI   MI0002322  ptc-MIR395h
MI   MI0002323  ptc-MIR395i
MI   MI0002324  ptc-MIR395j
MI   MI0005070  mtr-MIR395c
MI   MI0005071  mtr-MIR395d
MI   MI0005072  mtr-MIR395e
MI   MI0005073  mtr-MIR395f
MI   MI0005074  mtr-MIR395g
MI   MI0005075  mtr-MIR395h
MI   MI0005076  mtr-MIR395i
MI   MI0005077  mtr-MIR395j
MI   MI0005078  mtr-MIR395k
MI   MI0005079  mtr-MIR395l
MI   MI0005080  mtr-MIR395m
MI   MI0005081  mtr-MIR395n
MI   MI0005082  mtr-MIR395o
MI   MI0005083  mtr-MIR395p
MI   MI0005084  osa-MIR395m
MI   MI0005085  osa-MIR395n
MI   MI0005086  osa-MIR395o
MI   MI0005087  osa-MIR395p
MI   MI0005088  osa-MIR395q
MI   MI0005090  osa-MIR395v
MI   MI0005091  osa-MIR395w
MI   MI0005092  osa-MIR395r
//
AC   MIPF0000017
ID   mir-125
MI   MI0000151  mmu-mir-125a
MI   MI0000152  mmu-mir-125b-2
MI   MI0000417  dme-mir-125
MI   MI0000446  hsa-mir-125b-1
MI   MI0000469  hsa-mir-125a
MI   MI0000470  hsa-mir-125b-2
MI   MI0000725  mmu-mir-125b-1
MI   MI0000895  rno-mir-125a
MI   MI0000896  rno-mir-125b-1
MI   MI0000897  rno-mir-125b-2
MI   MI0001175  gga-mir-125b
MI   MI0001324  dps-mir-125
MI   MI0001578  ame-mir-125
MI   MI0001605  aga-mir-125
MI   MI0001972  dre-mir-125a-1
MI   MI0001973  dre-mir-125a-2
MI   MI0001975  dre-mir-125b-1
MI   MI0001976  dre-mir-125b-2
MI   MI0001977  dre-mir-125b-3
MI   MI0001978  dre-mir-125c
MI   MI0002414  ssc-mir-125b
MI   MI0002509  ggo-mir-125b-1
MI   MI0002510  age-mir-125b-1
MI   MI0002511  ppa-mir-125b
MI   MI0002512  ppy-mir-125b-1
MI   MI0002513  ptr-mir-125b-1
MI   MI0002514  mml-mir-125b-1
MI   MI0002515  sla-mir-125b
MI   MI0002516  lla-mir-125b-1
MI   MI0002517  mne-mir-125b-1
MI   MI0002574  ggo-mir-125b-2
MI   MI0002575  age-mir-125b-2
MI   MI0002576  lca-mir-125b
MI   MI0002577  ppy-mir-125b-2
MI   MI0002578  ptr-mir-125b-2
MI   MI0002579  mml-mir-125b-2
MI   MI0002580  lla-mir-125b-2
MI   MI0002581  mne-mir-125b-2
MI   MI0003401  fru-mir-125b
MI   MI0003402  tni-mir-125b
MI   MI0003439  fru-mir-125a
MI   MI0003440  tni-mir-125a
MI   MI0004752  bta-mir-125a
MI   MI0004753  bta-mir-125b
MI   MI0004825  xtr-mir-125b-1
MI   MI0004826  xtr-mir-125b-2
MI   MI0004931  xtr-mir-125a
MI   MI0005291  mdo-mir-125b-1
MI   MI0005292  mdo-mir-125b-2
//
AC   MIPF0000018
ID   mir-154
MI   MI0000176  mmu-mir-154
MI   MI0000400  mmu-mir-300
MI   MI0000480  hsa-mir-154
MI   MI0000591  rno-mir-323
MI   MI0000592  mmu-mir-323
MI   MI0000777  hsa-mir-369
MI   MI0000785  hsa-mir-377
MI   MI0000789  hsa-mir-381
MI   MI0000790  hsa-mir-382
MI   MI0000794  mmu-mir-377
MI   MI0000798  mmu-mir-381
MI   MI0000799  mmu-mir-382
MI   MI0000807  hsa-mir-323
MI   MI0000923  rno-mir-154
MI   MI0000971  rno-mir-300
MI   MI0001160  mmu-mir-409
MI   MI0001161  mmu-mir-410
MI   MI0001735  hsa-mir-409
MI   MI0002433  ssc-mir-323
MI   MI0002465  hsa-mir-410
MI   MI0002471  hsa-mir-487a
MI   MI0002597  ptr-mir-154
MI   MI0002598  ggo-mir-154
MI   MI0002599  ppy-mir-154
MI   MI0002600  mne-mir-154
MI   MI0002601  ppa-mir-154
MI   MI0003134  hsa-mir-494
MI   MI0003136  hsa-mir-496
MI   MI0003487  rno-mir-377
MI   MI0003514  hsa-mir-539
MI   MI0003520  mmu-mir-539
MI   MI0003526  rno-mir-539
MI   MI0003530  hsa-mir-487b
MI   MI0003532  mmu-mir-494
MI   MI0003534  mmu-mir-487b
MI   MI0003535  mmu-mir-369
MI   MI0003542  rno-mir-494
MI   MI0003546  rno-mir-381
MI   MI0003547  rno-mir-487b
MI   MI0003548  rno-mir-382
MI   MI0003550  rno-mir-409
MI   MI0003551  rno-mir-369
MI   MI0003677  hsa-mir-655
MI   MI0003678  hsa-mir-656
MI   MI0004589  mmu-mir-496
MI   MI0005020  bta-mir-369
MI   MI0005022  bta-mir-487a
MI   MI0005060  bta-mir-487b
//
AC   MIPF0000019
ID   mir-8
MI   MI0000128  dme-mir-8
MI   MI0000166  mmu-mir-141
MI   MI0000243  mmu-mir-200b
MI   MI0000342  hsa-mir-200b
MI   MI0000457  hsa-mir-141
MI   MI0000554  mmu-mir-200a
MI   MI0000650  hsa-mir-200c
MI   MI0000694  mmu-mir-200c
MI   MI0000737  hsa-mir-200a
MI   MI0000914  rno-mir-141
MI   MI0000942  rno-mir-200c
MI   MI0000943  rno-mir-200a
MI   MI0000944  rno-mir-200b
MI   MI0001249  gga-mir-200a
MI   MI0001250  gga-mir-200b
MI   MI0001303  dps-mir-8
MI   MI0001451  xla-mir-429
MI   MI0001595  ame-mir-8
MI   MI0001630  aga-mir-8
MI   MI0001641  hsa-mir-429
MI   MI0001642  mmu-mir-429
MI   MI0001643  rno-mir-429
MI   MI0001644  cfa-mir-429
MI   MI0001720  dre-mir-429
MI   MI0002004  dre-mir-141
MI   MI0002037  dre-mir-200a
MI   MI0002038  dre-mir-200b
MI   MI0002039  dre-mir-200c
MI   MI0002484  mml-mir-200c
MI   MI0002485  mml-mir-141
MI   MI0002486  ggo-mir-200c
MI   MI0002487  ggo-mir-141
MI   MI0002488  ppy-mir-200c
MI   MI0002489  ppy-mir-141
MI   MI0002490  ppa-mir-141
MI   MI0003301  fru-mir-429
MI   MI0003302  tni-mir-429
MI   MI0003303  fru-mir-200a
MI   MI0003304  tni-mir-200a
MI   MI0003305  fru-mir-200b
MI   MI0003306  tni-mir-200b
MI   MI0003714  gga-mir-429
MI   MI0004945  xtr-mir-200a
MI   MI0004946  xtr-mir-200b
MI   MI0004956  xtr-mir-429
MI   MI0004971  bmo-mir-8
MI   MI0005037  bta-mir-200a
MI   MI0005038  bta-mir-200c
MI   MI0005055  bta-mir-200b
MI   MI0005339  mdo-mir-200c
MI   MI0005340  mdo-mir-141
MI   MI0005345  mdo-mir-200b
MI   MI0005346  mdo-mir-200a
//
AC   MIPF0000020
ID   mir-515
MI   MI0003143  hsa-mir-520e
MI   MI0003144  hsa-mir-515-1
MI   MI0003145  hsa-mir-519e
MI   MI0003146  hsa-mir-520f
MI   MI0003147  hsa-mir-515-2
MI   MI0003148  hsa-mir-519c
MI   MI0003149  hsa-mir-520a
MI   MI0003150  hsa-mir-526b
MI   MI0003151  hsa-mir-519b
MI   MI0003152  hsa-mir-525
MI   MI0003153  hsa-mir-523
MI   MI0003154  hsa-mir-518f
MI   MI0003155  hsa-mir-520b
MI   MI0003156  hsa-mir-518b
MI   MI0003157  hsa-mir-526a-1
MI   MI0003158  hsa-mir-520c
MI   MI0003159  hsa-mir-518c
MI   MI0003160  hsa-mir-524
MI   MI0003161  hsa-mir-517a
MI   MI0003162  hsa-mir-519d
MI   MI0003163  hsa-mir-521-2
MI   MI0003164  hsa-mir-520d
MI   MI0003165  hsa-mir-517b
MI   MI0003166  hsa-mir-520g
MI   MI0003167  hsa-mir-516-3
MI   MI0003168  hsa-mir-526a-2
MI   MI0003169  hsa-mir-518e
MI   MI0003170  hsa-mir-518a-1
MI   MI0003171  hsa-mir-518d
MI   MI0003172  hsa-mir-516-4
MI   MI0003173  hsa-mir-518a-2
MI   MI0003174  hsa-mir-517c
MI   MI0003175  hsa-mir-520h
MI   MI0003176  hsa-mir-521-1
MI   MI0003177  hsa-mir-522
MI   MI0003178  hsa-mir-519a-1
MI   MI0003179  hsa-mir-527
MI   MI0003180  hsa-mir-516-1
MI   MI0003181  hsa-mir-516-2
MI   MI0003182  hsa-mir-519a-2
//
AC   MIPF0000021
ID   mir-124
MI   MI0000150  mmu-mir-124a-3
MI   MI0000302  cel-mir-124
MI   MI0000373  dme-mir-124
MI   MI0000443  hsa-mir-124a-1
MI   MI0000444  hsa-mir-124a-2
MI   MI0000445  hsa-mir-124a-3
MI   MI0000525  cbr-mir-124
MI   MI0000716  mmu-mir-124a-1
MI   MI0000717  mmu-mir-124a-2
